policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
gkt_timebudget,0,35,s35_t4,High Achiever,90.0,63.0,103.30419716232538,79.63024645290673,27.0,1.1426555414277235,1.6323650591824623,3308.083550075792,0.0,0,0.44,50,25,13,30,7,True,0.25
bkt_timebudget,0,35,s35_t4,High Achiever,124.0,106.0,110.88710355210677,89.60887944013346,18.0,1.876925226380323,2.195648378029812,3388.520709621102,0.0,0,0.64,50,26,16,27,7,True,0.25
mars_timebudget,0,49,s49_t20,High Achiever,108.0,98.0,114.93400566436053,106.66750708045063,10.0,1.7161735035652903,1.8912932488270544,3426.2270031465387,0.0,0,0.8,50,23,29,21,0,True,0.25
dkt_timebudget,0,49,s49_t20,High Achiever,94.0,69.0,98.5692217679734,74.71152720996673,25.0,1.2237031020712947,1.667073791227561,3383.1735761660243,0.0,0,0.5,50,23,20,23,7,True,0.25
gkt_timebudget,0,49,s49_t20,High Achiever,90.0,64.0,99.92225441653676,76.40281802067096,26.0,1.1350289642400413,1.5961344809625582,3383.1735761660248,0.0,0,0.5,50,23,20,23,7,True,0.25
bkt_timebudget,0,49,s49_t20,High Achiever,88.0,67.0,95.9494617077101,76.93682713463765,21.0,1.186954817195864,1.5589854315408362,3386.818050494204,0.0,0,0.54,50,24,25,20,5,True,0.25
mars_timebudget,0,49,s49_t4,High Achiever,130.0,120.5,129.09683389504494,119.37104236880616,9.5,2.075407800088706,2.2390291619214264,3483.652706562525,0.0,0,0.82,50,26,21,28,1,True,0.25
dkt_timebudget,0,49,s49_t4,High Achiever,88.0,63.0,95.49112331867218,72.36390414834023,25.0,1.090927367181457,1.523835052570924,3464.941950962407,0.0,0,0.5,50,28,18,28,4,True,0.25
gkt_timebudget,0,49,s49_t4,High Achiever,114.0,95.0,99.12207233905792,76.4025904238224,19.0,1.635239855890268,1.9622878270683213,3485.727172969845,0.0,0,0.58,50,27,17,29,4,True,0.25
bkt_timebudget,0,49,s49_t4,High Achiever,76.0,50.5,94.1010851740676,73.12635646758449,25.5,0.8753224211112596,1.3173169109793217,3461.58161486745,0.0,0,0.42,50,29,23,24,3,True,0.25
mars_timebudget,0,53,s53_t19,Strong Performer,100.0,88.0,108.46103181644725,98.57628977055906,12.0,1.4648384847078426,1.664589187168003,3604.492956131665,4.492956131664869,1,0.75,48,25,25,23,0,True,0.25
